Indice,File,Diff_media
0,00000_08500_label_free.tif,17.2932
1,00000_09000_label_free.tif,26.2173
2,00000_09500_label_free.tif,29.3692
3,00000_10000_label_free.tif,27.9013
4,00000_10500_label_free.tif,34.3025
5,00000_11000_label_free.tif,41.849
6,00000_11500_label_free.tif,33.8472
7,00000_12000_label_free.tif,17.7991
8,00500_06000_label_free.tif,23.0377
9,00500_06500_label_free.tif,21.2144
10,00500_07000_label_free.tif,20.8262
11,00500_07500_label_free.tif,22.1599
12,00500_08000_label_free.tif,24.8641
13,00500_08500_label_free.tif,28.0678
14,00500_09000_label_free.tif,33.2083
15,00500_09500_label_free.tif,32.9058
16,00500_10000_label_free.tif,32.1781
17,00500_10500_label_free.tif,42.5023
18,00500_11000_label_free.tif,46.3737
19,00500_11500_label_free.tif,32.0108
20,00500_12000_label_free.tif,17.8437
21,01000_05500_label_free.tif,28.8336
22,01000_06000_label_free.tif,34.2878
23,01000_06500_label_free.tif,30.3586
24,01000_07000_label_free.tif,29.9514
25,01000_07500_label_free.tif,31.8952
26,01000_08000_label_free.tif,32.6968
27,01000_08500_label_free.tif,30.9483
28,01000_09000_label_free.tif,33.6048
29,01000_09500_label_free.tif,34.3559
30,01000_10000_label_free.tif,33.5281
31,01000_10500_label_free.tif,38.3796
32,01000_11000_label_free.tif,33.3378
33,01000_11500_label_free.tif,23.9729
34,01000_12000_label_free.tif,25.3112
35,01000_12500_label_free.tif,26.6794
36,01000_15500_label_free.tif,22.3065
37,01000_16000_label_free.tif,19.6197
38,01000_16500_label_free.tif,13.6696
39,01000_17000_label_free.tif,13.1361
40,01500_05500_label_free.tif,34.2037
41,01500_06000_label_free.tif,32.63
42,01500_06500_label_free.tif,30.3116
43,01500_07000_label_free.tif,30.2981
44,01500_07500_label_free.tif,31.4657
45,01500_08000_label_free.tif,33.6413
46,01500_08500_label_free.tif,35.155
47,01500_09000_label_free.tif,38.3089
48,01500_09500_label_free.tif,37.9575
49,01500_10000_label_free.tif,33.6954
50,01500_10500_label_free.tif,32.2142
51,01500_11000_label_free.tif,32.6931
52,01500_11500_label_free.tif,38.3192
53,01500_12000_label_free.tif,45.0662
54,01500_12500_label_free.tif,46.2449
55,01500_13000_label_free.tif,42.6273
56,01500_13500_label_free.tif,33.711
57,01500_14000_label_free.tif,24.3218
58,01500_15500_label_free.tif,20.0674
59,01500_16000_label_free.tif,29.6027
60,01500_16500_label_free.tif,28.8584
61,01500_17000_label_free.tif,23.1767
62,01500_17500_label_free.tif,22.6142
63,01500_18000_label_free.tif,20.813
64,02000_05000_label_free.tif,29.9024
65,02000_05500_label_free.tif,37.0237
66,02000_06000_label_free.tif,32.3383
67,02000_06500_label_free.tif,32.146
68,02000_07000_label_free.tif,32.4958
69,02000_07500_label_free.tif,28.6262
70,02000_08000_label_free.tif,29.0243
71,02000_08500_label_free.tif,34.1506
72,02000_09000_label_free.tif,34.877
73,02000_09500_label_free.tif,31.8275
74,02000_10000_label_free.tif,28.8622
75,02000_10500_label_free.tif,32.1505
76,02000_11000_label_free.tif,39.9435
77,02000_11500_label_free.tif,42.1122
78,02000_12000_label_free.tif,39.6597
79,02000_12500_label_free.tif,39.2116
80,02000_13000_label_free.tif,43.1138
81,02000_13500_label_free.tif,45.7497
82,02000_14000_label_free.tif,42.1654
83,02000_14500_label_free.tif,35.2968
84,02000_15000_label_free.tif,30.8553
85,02000_15500_label_free.tif,30.5047
86,02000_16000_label_free.tif,35.2236
87,02000_16500_label_free.tif,35.3424
88,02000_17000_label_free.tif,25.629
89,02000_17500_label_free.tif,18.7615
90,02000_18000_label_free.tif,20.7846
91,02500_04500_label_free.tif,22.593
92,02500_05000_label_free.tif,41.176
93,02500_05500_label_free.tif,38.238
94,02500_06000_label_free.tif,32.225
95,02500_06500_label_free.tif,33.6554
96,02500_07000_label_free.tif,34.3263
97,02500_07500_label_free.tif,27.0549
98,02500_08000_label_free.tif,24.9493
99,02500_08500_label_free.tif,32.3538
100,02500_09000_label_free.tif,33.3493
101,02500_09500_label_free.tif,25.6741
102,02500_10000_label_free.tif,23.71
103,02500_10500_label_free.tif,27.9831
104,02500_11000_label_free.tif,30.9826
105,02500_11500_label_free.tif,30.4129
106,02500_12000_label_free.tif,26.1142
107,02500_12500_label_free.tif,26.0161
108,02500_13000_label_free.tif,30.6647
109,02500_13500_label_free.tif,32.7301
110,02500_14000_label_free.tif,33.7479
111,02500_14500_label_free.tif,35.2772
112,02500_15000_label_free.tif,38.609
113,02500_15500_label_free.tif,41.9118
114,02500_16000_label_free.tif,43.7059
115,02500_16500_label_free.tif,39.8028
116,02500_17000_label_free.tif,30.9657
117,02500_17500_label_free.tif,21.7226
118,02500_18000_label_free.tif,19.8396
119,02500_18500_label_free.tif,15.2049
120,03000_03000_label_free.tif,23.6206
121,03000_03500_label_free.tif,27.1043
122,03000_04000_label_free.tif,17.8423
123,03000_04500_label_free.tif,32.3943
124,03000_05000_label_free.tif,46.615
125,03000_05500_label_free.tif,39.1222
126,03000_06000_label_free.tif,30.4785
127,03000_06500_label_free.tif,30.4499
128,03000_07000_label_free.tif,33.7218
129,03000_07500_label_free.tif,29.4151
130,03000_08000_label_free.tif,28.2462
131,03000_08500_label_free.tif,37.5999
132,03000_09000_label_free.tif,42.489
133,03000_09500_label_free.tif,32.948
134,03000_10000_label_free.tif,28.2916
135,03000_10500_label_free.tif,27.9769
136,03000_11000_label_free.tif,25.4191
137,03000_11500_label_free.tif,27.48
138,03000_12000_label_free.tif,27.406
139,03000_12500_label_free.tif,26.7525
140,03000_13000_label_free.tif,26.4842
141,03000_13500_label_free.tif,24.6458
142,03000_14000_label_free.tif,25.0519
143,03000_14500_label_free.tif,26.0706
144,03000_15000_label_free.tif,27.0751
145,03000_15500_label_free.tif,32.1319
146,03000_16000_label_free.tif,42.3766
147,03000_16500_label_free.tif,45.634
148,03000_17000_label_free.tif,37.7819
149,03000_17500_label_free.tif,25.3859
150,03000_18000_label_free.tif,21.0755
