Indice,File,Diff_media
0,00000_08500_label_free.tif,24.1006
1,00000_09000_label_free.tif,33.1505
2,00000_09500_label_free.tif,37.2303
3,00000_10000_label_free.tif,39.5998
4,00000_10500_label_free.tif,43.3185
5,00000_11000_label_free.tif,45.1799
6,00000_11500_label_free.tif,36.6311
7,00000_12000_label_free.tif,24.301
8,00500_06000_label_free.tif,26.3875
9,00500_06500_label_free.tif,26.8267
10,00500_07000_label_free.tif,25.9136
11,00500_07500_label_free.tif,26.4038
12,00500_08000_label_free.tif,30.4291
13,00500_08500_label_free.tif,38.1105
14,00500_09000_label_free.tif,45.7433
15,00500_09500_label_free.tif,46.6029
16,00500_10000_label_free.tif,48.6008
17,00500_10500_label_free.tif,52.5815
18,00500_11000_label_free.tif,52.0863
19,00500_11500_label_free.tif,40.6577
20,00500_12000_label_free.tif,28.2725
21,01000_05500_label_free.tif,30.6569
22,01000_06000_label_free.tif,41.7326
23,01000_06500_label_free.tif,41.7424
24,01000_07000_label_free.tif,40.6776
25,01000_07500_label_free.tif,43.2756
26,01000_08000_label_free.tif,44.7708
27,01000_08500_label_free.tif,46.6094
28,01000_09000_label_free.tif,46.414
29,01000_09500_label_free.tif,45.5805
30,01000_10000_label_free.tif,47.2244
31,01000_10500_label_free.tif,49.1612
32,01000_11000_label_free.tif,47.7718
33,01000_11500_label_free.tif,42.3162
34,01000_12000_label_free.tif,39.348
35,01000_12500_label_free.tif,38.646
36,01000_15500_label_free.tif,24.3692
37,01000_16000_label_free.tif,24.6564
38,01000_16500_label_free.tif,19.1152
39,01000_17000_label_free.tif,15.2489
40,01500_05500_label_free.tif,40.3138
41,01500_06000_label_free.tif,46.4946
42,01500_06500_label_free.tif,44.6864
43,01500_07000_label_free.tif,42.8025
44,01500_07500_label_free.tif,44.9082
45,01500_08000_label_free.tif,45.326
46,01500_08500_label_free.tif,46.3696
47,01500_09000_label_free.tif,44.2277
48,01500_09500_label_free.tif,43.4093
49,01500_10000_label_free.tif,44.3821
50,01500_10500_label_free.tif,46.9424
51,01500_11000_label_free.tif,49.8838
52,01500_11500_label_free.tif,51.6485
53,01500_12000_label_free.tif,54.389
54,01500_12500_label_free.tif,54.2247
55,01500_13000_label_free.tif,48.875
56,01500_13500_label_free.tif,41.0621
57,01500_14000_label_free.tif,32.3961
58,01500_15500_label_free.tif,32.2816
59,01500_16000_label_free.tif,37.0514
60,01500_16500_label_free.tif,35.2633
61,01500_17000_label_free.tif,27.9259
62,01500_17500_label_free.tif,25.276
63,01500_18000_label_free.tif,21.4358
64,02000_05000_label_free.tif,33.4551
65,02000_05500_label_free.tif,45.5095
66,02000_06000_label_free.tif,45.9028
67,02000_06500_label_free.tif,45.8255
68,02000_07000_label_free.tif,43.8196
69,02000_07500_label_free.tif,44.9174
70,02000_08000_label_free.tif,42.5982
71,02000_08500_label_free.tif,45.0857
72,02000_09000_label_free.tif,41.5542
73,02000_09500_label_free.tif,40.2786
74,02000_10000_label_free.tif,39.0405
75,02000_10500_label_free.tif,44.501
76,02000_11000_label_free.tif,50.279
77,02000_11500_label_free.tif,54.5035
78,02000_12000_label_free.tif,53.7358
79,02000_12500_label_free.tif,55.2825
80,02000_13000_label_free.tif,56.2913
81,02000_13500_label_free.tif,54.889
82,02000_14000_label_free.tif,49.6946
83,02000_14500_label_free.tif,43.7995
84,02000_15000_label_free.tif,41.0202
85,02000_15500_label_free.tif,45.2822
86,02000_16000_label_free.tif,47.9569
87,02000_16500_label_free.tif,45.8015
88,02000_17000_label_free.tif,35.0135
89,02000_17500_label_free.tif,28.589
90,02000_18000_label_free.tif,25.2484
91,02500_04500_label_free.tif,27.8963
92,02500_05000_label_free.tif,43.3324
93,02500_05500_label_free.tif,49.3419
94,02500_06000_label_free.tif,46.6892
95,02500_06500_label_free.tif,48.1088
96,02500_07000_label_free.tif,48.1074
97,02500_07500_label_free.tif,45.5937
98,02500_08000_label_free.tif,43.4665
99,02500_08500_label_free.tif,47.2188
100,02500_09000_label_free.tif,48.1429
101,02500_09500_label_free.tif,43.6695
102,02500_10000_label_free.tif,38.9082
103,02500_10500_label_free.tif,41.9071
104,02500_11000_label_free.tif,43.9849
105,02500_11500_label_free.tif,44.3795
106,02500_12000_label_free.tif,41.662
107,02500_12500_label_free.tif,44.2328
108,02500_13000_label_free.tif,47.2629
109,02500_13500_label_free.tif,49.0585
110,02500_14000_label_free.tif,50.1673
111,02500_14500_label_free.tif,50.8565
112,02500_15000_label_free.tif,51.0544
113,02500_15500_label_free.tif,54.0331
114,02500_16000_label_free.tif,56.2215
115,02500_16500_label_free.tif,54.5725
116,02500_17000_label_free.tif,44.0216
117,02500_17500_label_free.tif,32.2789
118,02500_18000_label_free.tif,27.0019
119,02500_18500_label_free.tif,20.5045
120,03000_03000_label_free.tif,25.3451
121,03000_03500_label_free.tif,28.987
122,03000_04000_label_free.tif,30.9643
123,03000_04500_label_free.tif,35.9494
124,03000_05000_label_free.tif,48.7094
125,03000_05500_label_free.tif,47.8022
126,03000_06000_label_free.tif,44.8971
127,03000_06500_label_free.tif,46.864
128,03000_07000_label_free.tif,49.925
129,03000_07500_label_free.tif,48.479
130,03000_08000_label_free.tif,48.8729
131,03000_08500_label_free.tif,52.1623
132,03000_09000_label_free.tif,54.1042
133,03000_09500_label_free.tif,45.4494
134,03000_10000_label_free.tif,36.7383
135,03000_10500_label_free.tif,36.1085
136,03000_11000_label_free.tif,35.1887
137,03000_11500_label_free.tif,35.0181
138,03000_12000_label_free.tif,34.3308
139,03000_12500_label_free.tif,38.1677
140,03000_13000_label_free.tif,39.7896
141,03000_13500_label_free.tif,39.7485
142,03000_14000_label_free.tif,39.6267
